file,tranche,eng,tier,status,inSize,outSize,saved,ssimMin,ssimMean,dim,renderFail,opens,qpdfOk,secs,note,flagged
arxiv-2607.04566.pdf,arxiv,hyper,q150,,1669516,346080,79.27,1,1,false,false,true,true,0.23,,
arxiv-2607.04566.pdf,arxiv,hyper,q72,,1669516,204141,87.77,0.989,0.999,false,false,true,true,0.15,,
arxiv-2607.04566.pdf,arxiv,gs,lossless,,1669516,706063,57.71,0.999,1,false,false,true,true,0.22,,
arxiv-2607.04566.pdf,arxiv,gs,q300,,1669516,508640,69.53,0.999,1,false,false,true,true,0.21,,
arxiv-2607.04566.pdf,arxiv,gs,q150,,1669516,368242,77.94,0.999,0.999,false,false,true,true,0.59,,
arxiv-2607.04566.pdf,arxiv,gs,q72,,1669516,231128,86.16,0.99,0.998,false,false,true,true,0.61,,
arxiv-2607.04566.pdf,arxiv,mutool,lossless,,1669516,1660365,0.55,1,1,false,false,true,true,0.02,,
arxiv-2607.04566.pdf,arxiv,mutool,q300,,1669516,526584,68.46,1,1,false,false,true,true,0.09,,
arxiv-2607.04566.pdf,arxiv,mutool,q150,,1669516,422834,74.67,1,1,false,false,true,true,0.08,,
arxiv-2607.04566.pdf,arxiv,mutool,q72,,1669516,232973,86.05,0.99,0.999,false,false,true,true,0.07,,
arxiv-2607.04566.pdf,arxiv,qpdf,lossless,,1669516,1427619,14.49,1,1,false,false,true,true,1.19,,
arxiv-2607.04683.pdf,arxiv,hyper,lossless,,674656,340276,49.56,1,1,false,false,true,true,0.09,,
arxiv-2607.04683.pdf,arxiv,hyper,q300,,674656,297389,55.92,1,1,false,false,true,true,0.15,,
arxiv-2607.04683.pdf,arxiv,hyper,q150,,674656,270793,59.86,0.998,1,false,false,true,true,0.14,,
arxiv-2607.04683.pdf,arxiv,hyper,q72,,674656,269865,60,0.998,1,false,false,true,true,0.13,,
arxiv-2607.04683.pdf,arxiv,gs,lossless,,674656,355390,47.32,1,1,false,false,true,true,0.3,,
arxiv-2607.04683.pdf,arxiv,gs,q300,,674656,361846,46.37,1,1,false,false,true,true,0.29,,
arxiv-2607.04683.pdf,arxiv,gs,q150,,674656,302284,55.19,1,1,false,false,true,true,0.36,,
arxiv-2607.04683.pdf,arxiv,gs,q72,,674656,286934,57.47,0.998,1,false,false,true,true,0.38,,
arxiv-2607.04683.pdf,arxiv,mutool,lossless,,674656,505148,25.13,1,1,false,false,true,true,0.05,,
arxiv-2607.04683.pdf,arxiv,mutool,q300,,674656,483623,28.32,0.993,0.999,false,false,true,true,0.12,,
arxiv-2607.04683.pdf,arxiv,mutool,q150,,674656,457359,32.21,0.993,0.999,false,false,true,true,0.1,,
arxiv-2607.04683.pdf,arxiv,mutool,q72,,674656,451758,33.04,0.993,0.999,false,false,true,true,0.12,,
arxiv-2607.04683.pdf,arxiv,qpdf,lossless,,674656,554767,17.77,1,1,false,false,true,true,0.04,,
arxiv-2607.04696.pdf,arxiv,hyper,lossless,,1140814,723150,36.61,1,1,false,false,true,true,0.46,,
arxiv-2607.04696.pdf,arxiv,hyper,q300,,1140814,284567,75.06,0.999,1,false,false,true,true,0.24,,
arxiv-2607.04696.pdf,arxiv,hyper,q150,,1140814,251829,77.93,0.993,0.999,false,false,true,true,0.19,,
arxiv-2607.04696.pdf,arxiv,hyper,q72,,1140814,248799,78.19,0.993,0.998,false,false,true,true,0.17,,
arxiv-2607.04696.pdf,arxiv,gs,lossless,,1140814,514816,54.87,0.995,0.997,false,false,true,true,0.61,,
arxiv-2607.04696.pdf,arxiv,gs,q300,,1140814,127561,88.82,0.159,0.869,false,false,true,true,0.21,,true
arxiv-2607.04696.pdf,arxiv,gs,q150,,1140814,119576,89.52,0.159,0.869,false,false,true,true,0.24,,true
arxiv-2607.04696.pdf,arxiv,gs,q72,,1140814,119575,89.52,0.159,0.869,false,false,true,true,0.24,,true
arxiv-2607.04696.pdf,arxiv,mutool,lossless,,1140814,1097856,3.77,1,1,false,false,true,true,0.03,,
arxiv-2607.04696.pdf,arxiv,mutool,q300,,1140814,1098121,3.74,0.928,0.991,false,false,true,true,0.12,,
arxiv-2607.04696.pdf,arxiv,mutool,q150,,1140814,1063656,6.76,0.928,0.991,false,false,true,true,0.13,,
arxiv-2607.04696.pdf,arxiv,mutool,q72,,1140814,910065,20.23,0.927,0.991,false,false,true,true,0.15,,
arxiv-2607.04696.pdf,arxiv,qpdf,lossless,,1140814,1090858,4.38,1,1,false,false,true,true,0.41,,
arxiv-2607.04728.pdf,arxiv,hyper,lossless,,3190948,2782532,12.8,1,1,false,false,true,true,1.2,,
arxiv-2607.04728.pdf,arxiv,hyper,q300,,3190948,590002,81.51,0.999,1,false,false,true,true,0.9,,
arxiv-2607.04728.pdf,arxiv,hyper,q150,,3190948,543479,82.97,0.997,1,false,false,true,true,0.53,,
arxiv-2607.04728.pdf,arxiv,hyper,q72,,3190948,522072,83.64,0.997,1,false,false,true,true,0.45,,
arxiv-2607.04728.pdf,arxiv,gs,lossless,,3190948,832687,73.9,0.999,0.999,false,false,true,true,1.22,,
