file,tranche,bytes,pages,encrypted,signed,tagged,hasForms,sha256,origin_url,orig_name
arxiv-2606.21785.pdf,arxiv,4190759,24,false,false,false,false,f514e68a570b1157afd8f0da6baea7ef3c4481a12a2943974db8850159884286,https://arxiv.org/abs/2606.21785v2,2606.21785v2
arxiv-2606.21818.pdf,arxiv,718097,21,false,false,false,false,53cb68969c0a6944d25c7a8a3d23a58fd9c6eb7701b847cfe1d820dd382eca3e,https://arxiv.org/abs/2606.21818v1,2606.21818v1
arxiv-2606.21940.pdf,arxiv,1678489,13,false,false,false,false,360c69ee7774571b5457ebc27a7fb05a3a02c9566eff511ac04cf9e6019abd31,https://arxiv.org/abs/2606.21940v1,2606.21940v1
arxiv-2606.22695.pdf,arxiv,2666198,45,false,false,false,false,19d6ada4fd95c96369a8dfb57ab42302b83b57e20c6ac34e418e86700d6c8708,https://arxiv.org/abs/2606.22695v2,2606.22695v2
arxiv-2606.23066.pdf,arxiv,3809255,59,false,false,true,false,4a1d39cc66283c7671e3846468b3ba7fc172339440cbd5d601c2990926916f94,https://arxiv.org/abs/2606.23066v1,2606.23066v1
arxiv-2606.23325.pdf,arxiv,1500371,31,false,false,false,false,ca1c850df07df62934060f6dd104403aa6a5649ee3bfeae2dacab88be65fa423,https://arxiv.org/abs/2606.23325v1,2606.23325v1
arxiv-2606.23874.pdf,arxiv,28020112,31,false,false,false,false,24a030b246cb2c1dd69e2c4e4996f4ddb9dec25ee800405e290b050aba181b35,https://arxiv.org/abs/2606.23874v1,2606.23874v1
arxiv-2606.24037.pdf,arxiv,1014884,28,false,false,true,false,2c988dbb4bab049a4e7bae88d3e7722fdfc3ae3c2e6befbb3affc77d072def17,https://arxiv.org/abs/2606.24037v1,2606.24037v1
arxiv-2606.24351.pdf,arxiv,3922754,42,false,false,false,false,d6e0e4c3be38e1005f634ab297e23d6ddb5aefa43455ccc14bc8b674e160b94b,https://arxiv.org/abs/2606.24351v1,2606.24351v1
arxiv-2606.24394.pdf,arxiv,1715096,16,false,false,false,false,0da4392d328943df0f0b91e9e3683a352764942a0f4de916d4645b871927580b,https://arxiv.org/abs/2606.24394v1,2606.24394v1
arxiv-2606.24406.pdf,arxiv,1997471,8,false,false,false,false,42e80ddce2074aa22126c64062cff28091885b86b0a2d7676df40aab93880b29,https://arxiv.org/abs/2606.24406v1,2606.24406v1
arxiv-2606.24668.pdf,arxiv,405123,5,false,false,true,false,26c460686633a01b0233efa94b25af01f1f1e54173b9ebcc2e93de6926d3553f,https://arxiv.org/abs/2606.24668v1,2606.24668v1
arxiv-2606.25826.pdf,arxiv,2354119,46,false,false,false,false,6e981b13008e910bc60e99a0fe9f4700372dfbfbc2d8cd63da0238f093ee1ca7,https://arxiv.org/abs/2606.25826v1,2606.25826v1
arxiv-2606.25874.pdf,arxiv,728119,9,false,false,false,false,e6a15f4c0e937b752125bf4e7cc069fd6b84d51bd9d737313986f849017b0034,https://arxiv.org/abs/2606.25874v1,2606.25874v1
